,,,,,,한국 상위(%),,,,,,,,,,,,,,,전년 대비(%),,,,,,,,,,,,,,""
회사명,업계,응답(명),BIE(점),한국 상위(%),동의어,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,심리적안전감,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,"심리적안전감"
한국지역난방공사,에너지-화학 ,12,71,2%,"한국지역난방공사, 지역난방공사, 난방공사",5%,7%,1%,2%,1%,34%,7%,1%,1%,30%,2%,4%,18%,6%,8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국수력원자력,에너지-화학 ,81,71,3%,"한수원, 수력 원자력, KHNP, 한국수력원자력, 수력원자력, 한국 수력원자력",7%,6%,4%,3%,13%,17%,20%,8%,9%,14%,10%,13%,9%,5%,9%,10%,40%,11%,22%,10%,40%,11%,22%,39%,24%,9%,12%,19%,18%,"12%"
SK하이닉스,반도체 ,172,70,3%,"SK hynix, SK 하이닉스, SK하이닉스, 하이닉스",2%,0%,1%,4%,8%,6%,14%,4%,2%,9%,8%,3%,0%,1%,2%,9%,16%,13%,7%,9%,16%,13%,7%,0%,6%,10%,6%,15%,15%,"11%"
농협경제지주,식음료 ,15,70,3%,농협경제지주,12%,7%,11%,4%,7%,27%,32%,32%,3%,15%,11%,12%,1%,30%,5%,0%,-4%,-2%,-19%,0%,-4%,-2%,-19%,56%,-4%,10%,14%,-12%,6%,"-1%"
동우화인켐,반도체 ,15,70,3%,동우화인켐,2%,4%,4%,4%,42%,13%,35%,7%,23%,25%,53%,3%,9%,13%,7%,44%,110%,73%,68%,44%,110%,73%,68%,56%,5%,69%,11%,35%,23%,"28%"
부산교통공사,공기업 ,42,70,3%,"부교공, 부산교통공사, 부산 교통공사",2%,4%,5%,1%,3%,21%,41%,8%,10%,17%,2%,7%,11%,9%,3%,2%,19%,22%,0%,2%,19%,22%,0%,3%,12%,6%,12%,16%,12%,"7%"
KBS,방송-엔터 ,14,70,3%,"한국방송공사, KBS, 케이비에스",9%,3%,1%,2%,7%,8%,7%,17%,19%,5%,1%,0%,9%,16%,2%,14%,40%,42%,5%,14%,40%,42%,5%,29%,1%,24%,21%,3%,3%,"-7%"
기아,방산 ,86,69,3%,"KIA, 기아자동차, 기아, 기아차",9%,10%,10%,5%,15%,10%,20%,7%,13%,11%,19%,25%,2%,13%,15%,3%,8%,10%,-4%,3%,8%,10%,-4%,7%,2%,13%,2%,8%,2%,"6%"
서울신용보증재단,금융 ,10,69,4%,"서울신용보증재단, 서울신보, 서울신보재단, 신용보증재단, 신보, 서울",25%,14%,10%,41%,37%,19%,10%,6%,4%,14%,14%,59%,46%,52%,67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
센드버드코리아,IT ,12,69,3%,"센드버드, Sendbird",1%,6%,37%,69%,51%,6%,8%,1%,1%,3%,62%,3%,22%,2%,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
농협손해보험,금융 ,13,69,4%,#N/A,28%,25%,17%,14%,25%,55%,73%,11%,23%,32%,6%,40%,1%,64%,5%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성전자서비스,전자-기계 ,64,68,4%,삼성전자서비스,5%,9%,1%,6%,16%,22%,28%,8%,10%,14%,9%,21%,9%,1%,6%,-5%,12%,-9%,-11%,-5%,12%,-9%,-11%,-6%,0%,-3%,-3%,-8%,-3%,"-12%"
카카오페이,IT ,10,68,4%,"카카오페이, 카페, 카카오pay, Kakaopay, Kakao, 카카오",3%,2%,67%,3%,3%,2%,7%,6%,4%,4%,6%,5%,16%,7%,7%,23%,65%,39%,14%,23%,65%,39%,14%,80%,4%,22%,4%,18%,-9%,"10%"
한국과학기술정보연구원,공공기관 ,12,68,4%,#N/A,5%,21%,20%,12%,8%,66%,37%,44%,66%,72%,10%,32%,52%,30%,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
부산은행,은행 ,19,67,5%,부산은행,12%,7%,1%,57%,73%,31%,32%,40%,69%,51%,39%,62%,3%,35%,22%,19%,106%,66%,43%,19%,106%,66%,43%,-10%,-13%,34%,4%,58%,3%,"28%"
새마을금고중앙회,금융 ,22,67,4%,"새마을금고중앙회, 새마을금고, MG새마을금고, MG새마을",2%,8%,8%,7%,9%,8%,59%,4%,19%,20%,1%,34%,3%,25%,6%,-4%,32%,-9%,-16%,-4%,32%,-9%,-16%,-2%,-12%,-6%,-30%,3%,-3%,"-3%"
수의사,병원 ,10,67,4%,수의사,16%,13%,3%,26%,15%,0%,0%,0%,1%,14%,22%,15%,38%,4%,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국서부발전,에너지-화학 ,20,67,4%,"한국 서부발전, 한국서부발전",14%,10%,5%,9%,16%,18%,38%,9%,9%,20%,13%,17%,16%,25%,6%,8%,13%,70%,-16%,8%,13%,70%,-16%,106%,-2%,47%,10%,38%,24%,"30%"
한국예탁결제원,증권 ,10,67,4%,"한국예탁결제원, 예탁결제원, 예결원, KSD",4%,14%,22%,15%,23%,9%,8%,44%,75%,44%,23%,24%,5%,36%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대해상화재보험,금융 ,31,67,5%,"현대해상, 현대해상화재보험",10%,3%,2%,8%,13%,5%,31%,6%,5%,9%,9%,7%,3%,19%,19%,1%,19%,25%,12%,1%,19%,25%,12%,-10%,3%,20%,4%,9%,7%,"19%"
ASML Korea,전자-기계 ,31,66,5%,"ASML, ASML Korea, 에이에스엠엘",10%,22%,20%,19%,33%,37%,47%,18%,9%,17%,17%,26%,2%,5%,20%,-12%,-3%,-25%,-26%,-12%,-3%,-25%,-26%,-38%,-18%,-22%,-19%,-17%,-10%,"-10%"
BC카드,카드 ,14,66,6%,"BC카드, 비씨카드, BC card, 비씨, BC",11%,13%,8%,5%,4%,15%,24%,11%,23%,1%,0%,9%,6%,7%,16%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
SK하이이엔지,반도체 ,10,66,6%,"SK하이이엔지, 하이이엔지, 에스케이하이이엔지, SK, 에스케이",16%,50%,16%,14%,51%,66%,51%,36%,27%,18%,30%,50%,0%,59%,26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KB국민은행,은행 ,49,66,6%,"국민은행, KB국민은행, KB 국민, KB은행, KB국민, KB, KB 국민은행",18%,4%,4%,19%,30%,22%,14%,10%,9%,4%,23%,44%,8%,3%,15%,17%,33%,40%,54%,17%,33%,40%,54%,50%,46%,50%,12%,33%,24%,"39%"
도쿄일렉트론코리아,반도체 ,36,66,5%,"도쿄일렉트론코리아, 도쿄일렉트론",22%,9%,18%,35%,51%,20%,26%,19%,19%,21%,54%,27%,11%,15%,14%,11%,8%,22%,11%,11%,8%,22%,11%,31%,28%,5%,-16%,6%,5%,"-3%"
NH투자증권,증권 ,25,66,5%,"엔에이치투자증권, NH 투자증권, NH투자, NH투자증권, NH 투자 증권, NH 투자",27%,22%,27%,27%,17%,19%,12%,14%,13%,28%,17%,32%,3%,8%,15%,10%,23%,20%,2%,10%,23%,20%,2%,36%,16%,19%,44%,13%,2%,"-18%"
한국원자력연구원,공공기관 ,16,66,5%,"한국원자력연구원, 원자력연구원, Kaeri",25%,15%,4%,38%,23%,41%,47%,54%,24%,49%,27%,20%,27%,40%,21%,-34%,-18%,-18%,10%,-34%,-18%,-18%,10%,-15%,-4%,-30%,-20%,-21%,-7%,"-17%"
한국은행,은행 ,15,66,6%,"한국은행, 한은",10%,3%,12%,2%,1%,21%,32%,5%,2%,5%,2%,1%,44%,11%,8%,-2%,1%,-9%,-18%,-2%,1%,-9%,-18%,4%,47%,10%,-11%,-3%,22%,"9%"
현대글로비스,물류,22,66,5%,"현대글로비스, HYUNDAI GLOVIS, 글로비스, 현대 글로비스",11%,5%,2%,27%,51%,10%,47%,55%,34%,9%,28%,30%,7%,11%,20%,4%,-8%,0%,26%,4%,-8%,0%,26%,-24%,-7%,-3%,-18%,-24%,-19%,"-24%"
서울시농수산식품공사,공공기관 ,13,66,5%,#N/A,33%,29%,8%,12%,33%,83%,86%,32%,42%,48%,12%,62%,44%,19%,16%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
린데코리아,에너지-화학 ,14,66,5%,#N/A,21%,10%,11%,1%,7%,37%,23%,13%,5%,40%,11%,52%,12%,5%,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
세일즈포스코리아,IT서비스 ,11,66,6%,#N/A,17%,27%,36%,30%,19%,13%,19%,28%,32%,32%,22%,40%,5%,45%,20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
건강보험심사평가원,정부·공공기관 ,42,65,6%,건강보험심사평가원,18%,7%,13%,13%,12%,7%,21%,23%,5%,6%,10%,12%,18%,19%,15%,9%,22%,32%,20%,9%,22%,32%,20%,8%,11%,39%,8%,1%,7%,"20%"
국방과학연구소,공공기관 ,32,65,7%,국방과학연구소,7%,10%,19%,21%,18%,12%,23%,15%,14%,34%,4%,9%,24%,41%,3%,12%,48%,48%,3%,12%,48%,48%,3%,-2%,1%,-3%,-5%,25%,24%,"49%"
두산에너빌리티,건설-중공업,40,65,6%,"두중, 두산중공업, 두산중, 두산 중공업",7%,10%,15%,9%,20%,11%,7%,37%,11%,58%,8%,15%,25%,12%,19%,13%,22%,15%,-2%,13%,22%,15%,-2%,43%,-2%,8%,17%,-4%,26%,"-5%"
현대모비스,전자-기계 ,71,65,6%,"모비스, 현대모비스, Hyndai Mobis",24%,26%,5%,9%,10%,22%,41%,20%,16%,12%,10%,8%,3%,3%,7%,-1%,-8%,-15%,8%,-1%,-8%,-15%,8%,-9%,-6%,-8%,-13%,-17%,-10%,"0%"
세아제강,철강 ,14,65,6%,"세아제강, Seah Steel, 세아steel, Seah제강, Seah, 세아",5%,15%,14%,1%,6%,10%,3%,30%,45%,46%,6%,50%,6%,16%,18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
시높시스코리아,IT서비스 ,23,65,7%,"시높시스코리아, 시높시스, 시높시스 한국, Synopsis, Synopsis korea, 시놉시스",16%,36%,5%,14%,19%,3%,14%,13%,9%,13%,22%,5%,20%,5%,12%,-35%,-18%,-27%,-7%,-35%,-18%,-27%,-7%,-42%,-30%,2%,-7%,-9%,-14%,"-14%"
어플라이드머티어리얼즈코리아,전자-기계 ,25,65,7%,"어플라이드머티어리얼즈, Applied materials Korea, 어플라이드머티어리얼즈코리아",8%,13%,37%,12%,23%,7%,14%,3%,2%,22%,13%,7%,11%,13%,28%,29%,97%,79%,12%,29%,97%,79%,12%,87%,67%,119%,21%,59%,18%,"17%"
NH농협은행,은행 ,80,65,7%,"엔에이치농협은행, NH농협은행, 농협은행, NH 농협은행",20%,8%,14%,12%,45%,43%,23%,36%,50%,33%,23%,43%,4%,20%,15%,0%,12%,8%,-6%,0%,12%,8%,-6%,7%,-5%,2%,7%,-1%,-3%,"11%"
비바리퍼블리카,IT ,52,65,7%,"토스, 비바리퍼블리카",5%,9%,17%,12%,24%,16%,31%,8%,17%,46%,78%,17%,12%,5%,11%,3%,15%,7%,15%,3%,15%,7%,15%,34%,0%,4%,-4%,3%,3%,"4%"
한국가스안전공사,공공기관 ,13,65,7%,"한국가스안전공사, 가스안전공사, 가안공",6%,5%,8%,8%,3%,0%,4%,9%,15%,8%,4%,5%,34%,11%,2%,-3%,20%,34%,-18%,-3%,20%,34%,-18%,-7%,5%,31%,8%,-5%,-6%,"-9%"
한국동서발전,에너지-화학 ,18,65,7%,"한국동서발전, 동서발전",14%,12%,50%,35%,3%,32%,11%,4%,3%,3%,2%,12%,5%,3%,1%,-1%,36%,46%,-29%,-1%,36%,46%,-29%,-26%,18%,15%,17%,41%,33%,"22%"
한국조폐공사,공기업 ,13,65,7%,"한국조폐공사, 조폐공사, 조폐",23%,41%,12%,5%,27%,66%,37%,51%,40%,12%,15%,50%,52%,48%,32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HD현대일렉트릭,전자-기계,14,64,8%,"HD현대일렉트릭, 현대일렉트릭, HDhyundai electric, HD현대 electric, HD현대, HD Hyundai",18%,7%,20%,7%,51%,17%,27%,31%,34%,46%,60%,86%,92%,96%,82%,8%,-6%,1%,-10%,8%,-6%,1%,-10%,66%,-7%,3%,-12%,-21%,-9%,"-5%"
HMM,물류,12,64,8%,"HMM, 현대상선, 현대 상선",22%,20%,3%,17%,27%,27%,61%,28%,47%,48%,32%,20%,26%,18%,26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KB국민카드,카드 ,16,64,8%,"KB국민카드, 국민카드, 케이비국민카드, Kookmin Card, KB",11%,13%,26%,5%,2%,5%,2%,19%,29%,21%,6%,34%,4%,34%,9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼천리,에너지-화학 ,14,64,7%,삼천리,14%,4%,11%,8%,11%,34%,43%,19%,29%,5%,6%,50%,16%,30%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국종합기술,건설-중공업 ,13,64,8%,"한국종합기술, 종합기술, KECC",13%,15%,19%,12%,20%,15%,13%,13%,3%,10%,46%,24%,23%,25%,25%,3%,40%,4%,19%,3%,40%,4%,19%,-11%,27%,23%,26%,33%,47%,"16%"
111퍼센트,게임 ,10,64,8%,#N/A,4%,20%,1%,53%,60%,5%,19%,1%,2%,88%,60%,24%,9%,52%,11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
STX엔진,방산 ,13,64,8%,#N/A,8%,17%,8%,21%,12%,6%,32%,24%,36%,74%,19%,41%,19%,54%,9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
제일기획,광고·마케팅 ,11,63,9%,"Cheil, 제일기획",10%,7%,22%,32%,75%,74%,41%,63%,64%,30%,58%,59%,37%,58%,32%,16%,52%,67%,21%,16%,52%,67%,21%,18%,-14%,0%,17%,0%,-15%,"11%"
경남은행,금융 ,18,63,8%,"경남은행, 경남, 경상남도",3%,2%,2%,30%,23%,7%,21%,6%,9%,13%,6%,11%,1%,3%,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
넷마블네오,게임,12,63,9%,"넷마블네오, 넷마블neo, Netmarble Neo, Netmarble네오, 넷마블, Netmarble",3%,7%,4%,3%,19%,1%,5%,11%,11%,23%,56%,8%,59%,13%,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
볼보그룹코리아,자동차 ,23,63,9%,"볼보그룹코리아, 볼보그룹, Volvo group Korea, Volvo, 볼보, 볼보그룹 한국",23%,9%,24%,7%,15%,20%,26%,15%,32%,25%,19%,10%,31%,30%,15%,23%,63%,53%,26%,23%,63%,53%,26%,46%,52%,6%,3%,0%,12%,"14%"
LS일렉트릭,전자-기계 ,41,63,9%,"엘에스일렉트릭, 엘에스산전, LS산전, LS일렉트릭, 엘에스 산전, LS 산전",16%,9%,17%,5%,30%,11%,29%,23%,27%,31%,24%,11%,36%,34%,20%,3%,22%,10%,-3%,3%,22%,10%,-3%,7%,1%,11%,16%,-9%,0%,"21%"
지마켓,IT ,12,63,9%,"이베이, 이베이 코리아, eBay Korea, 이베이코리아, ebay, eBayKorea",6%,10%,71%,15%,3%,15%,60%,2%,5%,4%,7%,5%,12%,1%,2%,14%,55%,75%,-10%,14%,55%,75%,-10%,57%,36%,42%,28%,151%,56%,"66%"
한국항공우주산업,항공 ,56,63,9%,"한국 항공우주, 한국항공우주산업, 한국항공우주, 한국 항공우주산업",10%,10%,42%,19%,16%,5%,6%,17%,18%,44%,7%,9%,5%,34%,9%,-3%,24%,9%,-20%,-3%,24%,9%,-20%,-11%,-1%,27%,20%,-6%,-2%,"-3%"
한국건설기술연구원,공공기관 ,11,63,8%,"한국건설기술연구원, 건설기술연구원, 건설연",5%,11%,12%,3%,15%,5%,19%,5%,35%,35%,10%,64%,65%,30%,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국부동산원,공기업 ,21,63,9%,"한국부동산원, 부동산원",8%,8%,13%,9%,35%,40%,51%,20%,22%,14%,40%,12%,11%,9%,17%,-7%,4%,-3%,25%,-7%,4%,-3%,25%,-18%,-23%,-24%,-11%,-16%,-10%,"1%"
한국산업단지공단,공공기관 ,10,63,9%,"한국산업단지공단, 산업단지공단, Kicox",25%,25%,22%,16%,59%,66%,41%,23%,30%,30%,37%,38%,35%,37%,33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국수출입은행,은행 ,13,63,8%,"한국수출입은행, 수출입은행",4%,15%,8%,29%,3%,15%,12%,1%,15%,2%,1%,9%,50%,19%,22%,-8%,-2%,-19%,12%,-8%,-2%,-19%,12%,-24%,12%,-2%,3%,22%,2%,"3%"
Amazon,IT ,39,62,10%,"Amazon, 아마존",6%,8%,56%,33%,9%,9%,21%,13%,8%,12%,56%,30%,13%,8%,12%,-38%,0%,-7%,-28%,-38%,0%,-7%,-28%,-10%,0%,-14%,-14%,-18%,-9%,"-17%"
AXA손해보험,보험 ,11,62,10%,"AXA손해보험, 악사손보, 악사손해보험, AXA, 악사",7%,17%,9%,7%,29%,12%,58%,4%,2%,0%,33%,18%,31%,2%,23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대자동차,전자-기계 ,237,62,11%,"HYUNDAI, 현대자동차, 현대차, 현차",17%,17%,11%,12%,13%,22%,38%,17%,36%,35%,17%,13%,11%,16%,17%,-1%,-3%,-7%,-3%,-1%,-3%,-7%,-3%,-12%,6%,3%,-3%,-3%,-5%,"2%"
두산건설,건설-중공업,21,62,10%,"두산건설, Doosan건설, 두산, Doosan",8%,18%,26%,9%,13%,11%,21%,11%,25%,20%,37%,15%,31%,32%,24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성증권,증권 ,22,62,10%,삼성증권,23%,11%,17%,30%,37%,18%,19%,17%,13%,13%,53%,62%,10%,3%,22%,5%,14%,22%,20%,5%,14%,22%,20%,-10%,-12%,-6%,12%,-7%,7%,"17%"
셀트리온,제약-바이오 ,39,62,11%,셀트리온,12%,12%,10%,28%,70%,21%,41%,23%,17%,8%,53%,37%,3%,45%,16%,6%,30%,16%,19%,6%,30%,16%,19%,-4%,-6%,19%,1%,2%,1%,"17%"
한국철도공사,공기업 ,179,62,9%,"코레일, 한국철도공사, KORAIL",9%,7%,15%,2%,4%,19%,24%,7%,5%,6%,3%,2%,35%,12%,4%,13%,55%,58%,39%,13%,55%,58%,39%,35%,22%,31%,19%,12%,27%,"30%"
한국화학연구원,공공기관 ,11,62,11%,"한국화학연구원, 화학연구원",26%,33%,36%,23%,3%,7%,19%,44%,27%,4%,1%,12%,71%,52%,20%,10%,-20%,-5%,174%,10%,-20%,-5%,174%,102%,-3%,25%,12%,3%,6%,"44%"
한화비전,전자-기계 ,10,62,10%,"한화비전, Hanwha vision, Hanwha비전, 한화vision, 한화, Hanwha",31%,39%,34%,26%,17%,17%,19%,6%,50%,30%,11%,27%,11%,48%,53%,2%,-14%,0%,17%,2%,-14%,0%,17%,-11%,22%,4%,14%,14%,-3%,"-3%"
엠케이에스코리아,반도체 ,10,62,10%,#N/A,8%,8%,3%,3%,5%,47%,19%,9%,8%,8%,11%,30%,57%,30%,25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
히타치하이테크코리아,제약-바이오 ,10,62,10%,#N/A,16%,37%,8%,22%,11%,30%,28%,63%,72%,46%,33%,4%,8%,2%,23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
남양넥스모,자동차,11,62,10%,#N/A,41%,31%,70%,16%,4%,24%,7%,15%,40%,30%,22%,2%,31%,11%,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
시프트업,게임 ,12,62,10%,#N/A,2%,20%,11%,31%,18%,1%,5%,4%,8%,14%,61%,83%,23%,75%,67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
해안종합건축사사무소,건설-중공업,10,62,11%,#N/A,16%,32%,56%,38%,67%,17%,53%,63%,34%,34%,60%,4%,43%,40%,32%,16%,54%,50%,-9%,16%,54%,50%,-9%,108%,25%,64%,4%,-14%,15%,"21%"
Microsoft,IT ,15,61,12%,"Microsoft, 마이크로소프트, 마소",4%,4%,49%,39%,33%,5%,4%,32%,20%,15%,34%,4%,22%,2%,29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성물산,건설-중공업 ,42,61,12%,"Samsung C&T, 삼성물산",25%,11%,34%,25%,51%,43%,42%,63%,65%,89%,62%,50%,21%,30%,48%,-5%,-22%,6%,-7%,-5%,-22%,6%,-7%,-11%,-12%,-21%,-9%,-17%,1%,"-19%"
우리카드,카드 ,14,61,11%,"WOORI CARD, 우리카드",2%,11%,3%,12%,7%,8%,3%,5%,8%,25%,14%,1%,3%,23%,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
국민건강보험공단,정부·공공기관 ,43,61,12%,"건보, 국민건강보험공단",13%,5%,11%,9%,3%,6%,9%,4%,4%,6%,2%,2%,16%,3%,3%,-7%,21%,9%,-7%,-7%,21%,9%,-7%,8%,28%,17%,3%,25%,14%,"13%"
