,,,,,,한국 상위(%),,,,,,,,,,,,,,,전년 대비(%),,,,,,,,,,,,,,""
회사명,업계,응답(명),BIE(점),한국 상위(%),동의어,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,심리적안전감,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,"심리적안전감"
국가철도공단,공공기관 ,26,61,13%,"국가철도공단, 철도시설공단, 한국철도시설공단",19%,25%,21%,27%,66%,67%,32%,28%,23%,31%,22%,32%,15%,16%,8%,-8%,-1%,-28%,56%,-8%,-1%,-28%,56%,-27%,-31%,-31%,-18%,-24%,-22%,"-17%"
동양생명보험,금융 ,16,61,12%,"동양생명보험, 동양생보, 동양생명, 동양보험",25%,23%,5%,28%,24%,34%,28%,55%,57%,36%,37%,31%,11%,64%,49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
변호사,법률,12,61,11%,변호사,3%,31%,63%,22%,51%,19%,1%,39%,8%,22%,60%,50%,18%,40%,5%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
신한카드,카드 ,20,61,12%,"신한카드, Shinhan card, 신한, Shinhan",20%,17%,9%,22%,31%,25%,45%,42%,53%,57%,14%,60%,27%,36%,47%,-22%,-23%,-23%,-26%,-22%,-23%,-23%,-26%,-32%,-29%,-21%,-10%,-19%,-22%,"-24%"
쎄트렉아이,전자-기계 ,19,61,12%,"쎄트렉아이, Satreci, Satrec, Satrec아이, 쎄트렉i",35%,39%,17%,28%,78%,29%,53%,42%,28%,62%,83%,34%,32%,16%,67%,0%,7%,-11%,25%,0%,7%,-11%,25%,-19%,-26%,-8%,-9%,0%,-4%,"-19%"
인천국제공항공사,항공 ,11,61,11%,"인천국제공항공사, 인천공항, 인국공, 인천공항공사, 인천",26%,37%,14%,21%,51%,43%,53%,31%,50%,62%,43%,57%,70%,64%,61%,-5%,-13%,-8%,-12%,-5%,-13%,-8%,-12%,9%,-25%,-8%,-9%,4%,-3%,"-17%"
카카오뱅크,IT ,11,61,11%,"카카오뱅크, Kakao bank, 카뱅, 카카오 뱅크",10%,27%,42%,19%,41%,84%,95%,18%,27%,72%,43%,8%,49%,55%,17%,-6%,16%,8%,-20%,-6%,16%,8%,-20%,7%,-22%,-23%,-14%,39%,15%,"-6%"
한국전자통신연구원,공공기관 ,29,61,13%,"한국전자통신연구원, ETRI, 전자통신연구원",26%,57%,42%,24%,12%,43%,53%,25%,53%,61%,27%,17%,52%,49%,16%,-5%,21%,-19%,-20%,-5%,21%,-19%,-20%,35%,-10%,-11%,-2%,-3%,-17%,"-10%"
한전KPS,에너지-화학 ,60,61,11%,"한전 KPS, 한전KPS",15%,7%,23%,12%,29%,12%,19%,10%,9%,19%,17%,10%,8%,8%,7%,-2%,16%,16%,9%,-2%,16%,16%,9%,1%,-3%,17%,7%,19%,-1%,"5%"
삼성카드,카드 ,21,61,12%,#N/A,63%,26%,15%,19%,37%,35%,21%,23%,24%,13%,22%,31%,8%,13%,26%,-3%,-30%,-16%,16%,-3%,-30%,-16%,16%,32%,-15%,-15%,11%,-5%,-14%,"-5%"
HD현대이엔티,조선,24,61,12%,#N/A,17%,12%,9%,6%,40%,15%,3%,26%,9%,19%,10%,10%,18%,4%,18%,33%,38%,31%,159%,33%,38%,31%,159%,24%,39%,24%,23%,-6%,15%,"-8%"
SBS,방송-엔터 ,10,61,12%,#N/A,6%,3%,2%,53%,85%,0%,2%,7%,1%,8%,84%,2%,10%,5%,8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
기업은행,금융 ,40,60,14%,"IBK 기업, IBK기업은행, IBK기업, 기업은행, IBK, 기은",36%,17%,20%,20%,37%,35%,53%,30%,14%,41%,18%,71%,72%,61%,29%,-5%,-1%,4%,-2%,-5%,-1%,4%,-2%,-8%,5%,-1%,-4%,12%,24%,"8%"
나이스평가정보,금융,15,60,13%,나이스평가정보,18%,50%,35%,6%,30%,15%,69%,32%,29%,60%,39%,34%,16%,6%,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
네이버웹툰,영화-컨텐츠 ,12,60,13%,"네이버웹툰, 네웹, Naver웹툰",22%,27%,16%,23%,41%,55%,25%,8%,18%,25%,53%,32%,5%,2%,34%,-3%,65%,15%,-8%,-3%,65%,15%,-8%,6%,-19%,-5%,-12%,18%,18%,"-5%"
데브시스터즈,게임 ,13,60,14%,"데브시스터즈, Devsisters",1%,2%,36%,12%,12%,7%,37%,18%,19%,12%,22%,3%,5%,30%,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
빙그레,식음료 ,10,60,13%,빙그레,16%,14%,1%,41%,9%,2%,3%,1%,3%,0%,6%,2%,1%,2%,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
인천교통공사,공기업 ,29,60,13%,인천교통공사,28%,37%,21%,8%,41%,40%,63%,42%,53%,74%,11%,36%,57%,26%,46%,11%,37%,39%,23%,11%,37%,39%,23%,24%,-10%,33%,21%,4%,18%,"1%"
주택도시보증공사,금융 ,25,60,14%,주택도시보증공사,33%,28%,51%,51%,53%,40%,10%,30%,18%,13%,25%,50%,17%,34%,25%,-2%,16%,-2%,-22%,-2%,16%,-2%,-22%,-16%,-24%,-6%,-4%,-7%,2%,"0%"
아이엠뱅크,은행 ,19,60,13%,#N/A,12%,1%,3%,35%,51%,50%,9%,23%,64%,40%,61%,28%,2%,16%,37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
서울주택도시개발공사,건설-중공업 ,13,60,13%,#N/A,17%,8%,23%,19%,5%,9%,46%,23%,11%,10%,6%,9%,34%,24%,36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대하이카손해사정,금융 ,13,60,13%,#N/A,33%,12%,0%,2%,59%,82%,45%,81%,94%,82%,33%,67%,8%,40%,45%,4%,-18%,30%,11%,4%,-18%,30%,11%,113%,88%,75%,-10%,-22%,-34%,"-23%"
LG경영개발원,IT ,11,60,14%,#N/A,41%,32%,28%,4%,51%,11%,19%,31%,50%,8%,7%,1%,35%,64%,4%,0%,-9%,-4%,-3%,0%,-9%,-4%,-3%,77%,-14%,19%,-10%,10%,-28%,"19%"
한국야금,전자-기계,19,60,14%,#N/A,10%,11%,11%,8%,20%,3%,10%,19%,8%,19%,6%,25%,23%,33%,12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
연합뉴스,언론·매거진 ,10,60,14%,#N/A,57%,9%,4%,38%,57%,15%,37%,63%,64%,46%,60%,59%,52%,94%,32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
하나카드,카드 ,12,60,14%,#N/A,22%,61%,49%,4%,5%,29%,84%,63%,50%,82%,11%,59%,31%,68%,74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
Citibank,은행 ,12,59,16%,"Citibank, 씨티뱅크, 씨티은행, 한국씨티은행",32%,35%,21%,41%,60%,40%,78%,63%,82%,82%,61%,71%,38%,40%,90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
LG유플러스,IT ,63,59,16%,"LG Uplus, LG유플러스, 유플러스, LG U+, 유쁠, 엘지유플러스, LG 유플러스",21%,23%,22%,35%,21%,31%,41%,29%,43%,25%,27%,30%,26%,13%,26%,9%,24%,21%,22%,9%,24%,21%,22%,27%,7%,25%,11%,15%,7%,"16%"
삼성디스플레이,전자-기계 ,94,59,15%,"Samsung Display, 삼디, 삼성디스플레이, 삼성 디스플레이",32%,28%,5%,29%,22%,25%,43%,47%,32%,41%,39%,41%,25%,20%,30%,13%,24%,21%,14%,13%,24%,21%,14%,11%,13%,15%,10%,-1%,8%,"10%"
SGI서울보증,보험 ,18,59,16%,"SGI서울보증, 서울보증, SGI서울, 에스지아이서울, 에스지아이서울보증",21%,17%,8%,27%,32%,46%,13%,13%,13%,17%,42%,43%,32%,44%,18%,1%,27%,25%,36%,1%,27%,25%,36%,-9%,-21%,-15%,2%,-4%,-12%,"1%"
한국남부발전,에너지-화학 ,32,59,14%,"남부발전, KOSPO, 한국남부발전",7%,11%,45%,24%,26%,31%,58%,7%,8%,5%,6%,11%,11%,31%,7%,10%,166%,88%,-26%,10%,166%,88%,-26%,11%,33%,51%,50%,95%,92%,"76%"
대학내일,언론·매거진 ,18,59,14%,대학내일,23%,13%,39%,32%,29%,47%,21%,28%,40%,52%,46%,22%,14%,18%,45%,-41%,-30%,-26%,-32%,-41%,-30%,-26%,-32%,-26%,-21%,-33%,-20%,-23%,-22%,"-31%"
서울특별시교육청,공공기관 ,27,59,15%,"서울시교육청, 서울특별시교육청",26%,19%,22%,40%,40%,24%,14%,9%,5%,6%,11%,43%,85%,47%,12%,7%,27%,23%,5%,7%,27%,23%,5%,58%,17%,39%,23%,19%,32%,"26%"
서울아산병원,병원 ,19,59,15%,"서울아산병원, 서울 아산병원, 아산병원",17%,20%,8%,38%,75%,3%,28%,28%,41%,17%,24%,37%,32%,30%,23%,6%,32%,18%,17%,6%,32%,18%,17%,29%,-19%,32%,26%,30%,10%,"24%"
이화여자대학교의료원,병원 ,24,59,15%,"이화여자대학교의료원, 이화여대의료원, 이대의료원, 이화의료원, 이화여대, 이화여자대학교",15%,15%,2%,4%,81%,18%,52%,48%,56%,19%,14%,35%,6%,52%,12%,23%,73%,59%,38%,23%,73%,59%,38%,419%,6%,37%,0%,15%,17%,"57%"
케이엘에이텐코코리아,전자-기계 ,12,59,15%,"케이엘에이텐코코리아, KLA텐코, KLA , 케이엘에이, KLA Tencor,  KLA-Tencor, 케이엘에이텐코, 케이엘에이텐코 한국, KLA Korea, KLA Tencor Korea ",15%,39%,56%,46%,29%,34%,41%,31%,8%,46%,12%,6%,3%,6%,14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국도로공사,공기업 ,55,59,15%,"한국도로공사, 도로공사",35%,21%,12%,13%,39%,50%,58%,20%,13%,44%,16%,29%,12%,11%,18%,-8%,-3%,-15%,2%,-8%,-3%,-15%,2%,21%,-19%,2%,-1%,-9%,3%,"0%"
한국자산관리공사,금융 ,21,59,16%,"한국자산관리공사, 자산관리공사, 자산공사, Kamco",63%,43%,26%,38%,62%,59%,65%,46%,37%,48%,42%,50%,40%,47%,32%,-1%,-16%,1%,8%,-1%,-16%,1%,8%,25%,-20%,12%,20%,-16%,-11%,"5%"
한국전력공사,에너지-화학 ,110,59,16%,"한국전력공사, KEPCO, 한국전력, 한전, 켑코",26%,18%,15%,16%,29%,37%,35%,20%,17%,23%,13%,32%,25%,25%,13%,7%,39%,44%,24%,7%,39%,44%,24%,28%,8%,44%,11%,32%,27%,"17%"
한국원자력환경공단,공공기관 ,13,59,15%,#N/A,6%,2%,9%,56%,4%,0%,1%,1%,2%,34%,8%,11%,24%,15%,8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
콩스튜디오코리아,게임 ,10,59,15%,#N/A,6%,5%,32%,16%,11%,1%,10%,6%,8%,22%,18%,2%,11%,22%,32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
LX MMA,에너지-화학 ,10,59,15%,#N/A,16%,5%,15%,22%,37%,19%,10%,6%,13%,8%,24%,6%,14%,15%,23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KT클라우드,IT서비스 ,11,59,16%,#N/A,10%,12%,9%,52%,25%,24%,65%,6%,12%,30%,37%,38%,35%,3%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KT&G,식음료 ,15,58,17%,"KT&G, 케이티앤지, KT앤지, KT, 케이티",12%,17%,14%,38%,55%,66%,19%,40%,20%,15%,56%,69%,40%,57%,45%,5%,76%,25%,27%,5%,76%,25%,27%,29%,-4%,-14%,-6%,-5%,36%,"1%"
한국과학기술연구원,공공기관 ,15,58,17%,"과학기술연구원, kist, 한국과학기술연구원, 키스트",34%,33%,66%,82%,23%,20%,51%,42%,98%,92%,58%,92%,41%,37%,11%,-4%,-12%,10%,-4%,-4%,-12%,10%,-4%,-11%,-4%,28%,4%,31%,-18%,"-31%"
동아오츠카,식음료,10,58,17%,"동아오츠카, Donga otsuka, 동아otsuka, 동아, Donga, Dong-a",71%,35%,3%,12%,35%,50%,95%,90%,95%,55%,53%,36%,31%,20%,54%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KB손해보험,보험 ,23,58,16%,"케이비손해보험, KB손해보험",21%,16%,28%,41%,35%,24%,33%,63%,72%,70%,16%,37%,17%,16%,28%,5%,11%,13%,41%,5%,11%,13%,41%,3%,-11%,8%,33%,-6%,-10%,"-5%"
코리아크레딧뷰로,금융 ,16,58,17%,"코리아크레딧뷰로, KCB, 올크레딧",14%,20%,29%,13%,21%,2%,12%,23%,23%,23%,22%,15%,8%,35%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
파르나스호텔,호텔-레저 ,12,58,16%,"파르나스호텔, 파르나스, Parnas, Parnas호텔, Parnas Hotel",18%,25%,8%,42%,73%,15%,19%,47%,15%,15%,82%,88%,33%,30%,61%,36%,101%,77%,121%,36%,101%,77%,121%,69%,98%,75%,127%,88%,17%,"57%"
한국램리서치,전자-기계 ,28,58,17%,"한국램리서치, Lam Research, 램리서치",16%,12%,56%,39%,51%,20%,35%,28%,27%,40%,29%,36%,7%,14%,7%,18%,39%,52%,-8%,18%,39%,52%,-8%,58%,25%,6%,1%,7%,14%,"49%"
현대엘리베이터,전자-기계,19,58,16%,"현대 엘리베이터, 현대 엘베, 현대엘리베이터, 현대엘베",7%,14%,32%,19%,16%,52%,81%,72%,71%,19%,16%,42%,11%,33%,54%,-9%,13%,-15%,-35%,-9%,13%,-15%,-35%,36%,-9%,-11%,-16%,-18%,-15%,"-4%"
한국환경공단,공공기관 ,29,58,17%,"환경공단, 한국환경공단",36%,21%,14%,26%,15%,43%,57%,13%,14%,18%,11%,17%,62%,11%,8%,-2%,2%,43%,13%,-2%,2%,43%,13%,-26%,42%,31%,50%,23%,24%,"39%"
예금보험공사,금융 ,11,58,17%,#N/A,45%,21%,20%,14%,19%,38%,25%,16%,16%,40%,32%,26%,44%,5%,20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
대신증권,금융 ,18,58,17%,#N/A,6%,12%,26%,8%,18%,5%,8%,17%,4%,6%,14%,25%,37%,21%,12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
에코플라스틱,자동차 ,12,58,17%,#N/A,22%,41%,56%,33%,12%,27%,43%,53%,76%,51%,34%,34%,22%,47%,23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
대우건설,건설-중공업,32,57,18%,"DAEWOO E&C, 대우건설",46%,31%,30%,26%,37%,49%,53%,64%,53%,90%,67%,64%,34%,40%,69%,2%,-8%,11%,5%,2%,-8%,11%,5%,26%,3%,-9%,-5%,23%,5%,"-13%"
한화토탈에너지스,에너지-화학 ,20,57,18%,"Hanwha Total, 한화토탈",35%,50%,36%,12%,54%,40%,29%,37%,36%,19%,19%,31%,57%,76%,48%,-12%,-10%,-14%,8%,-12%,-10%,-14%,8%,-31%,-38%,-24%,0%,-27%,-11%,"-8%"
프라이스워터하우스쿠퍼스컨설팅,회계-컨설팅 ,36,57,18%,"PWC, 프라이스워터하우스쿠퍼스컨설팅",28%,22%,27%,35%,85%,41%,38%,56%,45%,49%,88%,60%,20%,44%,24%,4%,14%,11%,33%,4%,14%,11%,33%,194%,-12%,9%,10%,-2%,21%,"14%"
SK케미칼,제약-바이오 ,22,57,18%,"SK chemicals, SK케미칼, SK 케미칼, 에스케이케미칼",15%,8%,20%,23%,6%,10%,9%,11%,25%,30%,14%,12%,17%,6%,12%,14%,58%,38%,24%,14%,58%,38%,24%,85%,10%,50%,9%,20%,22%,"15%"
동아제약,제약-바이오 ,14,57,18%,"동아제약, 동아쏘시오, 동아쏘시오그룹, 동아, Dong-a, Donga제약",21%,6%,75%,13%,51%,18%,56%,11%,18%,25%,57%,32%,25%,67%,34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성의료원,병원 ,23,57,19%,삼성의료원,49%,22%,16%,66%,58%,34%,89%,63%,93%,87%,76%,78%,31%,73%,82%,1%,2%,-5%,30%,1%,2%,-5%,30%,12%,18%,4%,-16%,-9%,-8%,"-20%"
삼성화재애니카손해사정,보험 ,15,57,19%,"삼성화재애니카손해사정, 삼성화재애니카손사, 삼성화재손사, 삼성화재, 삼성, Samsung",34%,35%,3%,70%,91%,70%,23%,19%,47%,57%,32%,40%,21%,24%,22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
S-OIL,에너지-화학 ,51,57,19%,"에스오일, S OIL, S-OIL, SOIL",50%,24%,20%,28%,64%,61%,53%,43%,32%,40%,41%,39%,10%,52%,46%,-6%,-3%,-7%,29%,-6%,-3%,-7%,29%,-18%,7%,-10%,-15%,-24%,-11%,"-3%"
우미건설,건설-중공업 ,20,57,18%,우미건설,16%,32%,64%,44%,15%,8%,11%,23%,25%,9%,18%,25%,14%,22%,12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국산업안전보건공단,공공기관 ,28,57,18%,"한국산업안전보건공단, 안전보건공단, 산업안정보건공단",22%,19%,34%,57%,21%,27%,31%,43%,15%,13%,12%,30%,43%,43%,13%,15%,37%,70%,54%,15%,37%,70%,54%,6%,-13%,28%,31%,39%,67%,"79%"
한국석유공사,공기업 ,14,57,19%,"한국석유공사, 석유공사, Knoc",24%,50%,23%,33%,27%,47%,35%,11%,16%,40%,7%,24%,46%,18%,58%,-2%,42%,-11%,-6%,-2%,42%,-11%,-6%,-10%,-16%,-4%,-15%,7%,-11%,"-17%"
한국인삼공사,식음료 ,16,57,18%,"한국인삼공사, KGC인삼공사, 인삼공사",73%,35%,37%,60%,64%,80%,8%,45%,35%,8%,7%,65%,20%,79%,45%,-16%,-33%,-19%,-26%,-16%,-33%,-19%,-26%,-35%,-22%,-35%,-6%,-29%,-19%,"6%"
한전KDN,IT서비스 ,15,57,18%,"한전KDN, 한전 KDN",29%,15%,27%,5%,25%,13%,35%,28%,58%,17%,12%,33%,57%,7%,11%,7%,40%,27%,10%,7%,40%,27%,10%,83%,-19%,35%,-7%,-5%,-28%,"-18%"
듀폰코리아,반도체 ,17,57,19%,#N/A,20%,35%,74%,77%,11%,69%,85%,66%,49%,56%,22%,74%,53%,21%,26%,1%,43%,-9%,-18%,1%,43%,-9%,-18%,0%,2%,-27%,-11%,-14%,6%,"9%"
HD한국조선해양,조선 ,26,56,20%,"HD한국조선해양, 에이치디한국조선해양, 에이치디한국조선, 에이치디한국해양, 한국조선해양, 조선해양, HD조선해양, HD현대, HD Hyundai",17%,23%,8%,9%,20%,8%,26%,42%,47%,25%,39%,28%,17%,57%,16%,17%,57%,29%,121%,17%,57%,29%,121%,43%,11%,26%,14%,12%,-18%,"15%"
신세계,커머스 ,11,56,20%,"SHINSEGAE, 신세계, SSG",14%,31%,32%,21%,67%,34%,88%,71%,44%,100%,18%,91%,24%,10%,63%,0%,39%,6%,-7%,0%,39%,6%,-7%,33%,-5%,38%,-16%,8%,12%,"-42%"
SK오앤에스,통신,36,56,19%,"SK오앤에스, SK ONS, SK O&S, 에스케이오앤에스, 에스케이ONS, SK, 에스케이",32%,29%,12%,15%,54%,66%,66%,18%,43%,37%,32%,28%,41%,30%,22%,6%,21%,13%,19%,6%,21%,13%,19%,21%,-7%,4%,-6%,0%,4%,"-14%"
국민연금공단,정부·공공기관 ,33,56,19%,"국민연금, 국민연금공단, NPS",29%,8%,24%,26%,15%,26%,29%,33%,19%,17%,6%,5%,39%,17%,11%,-10%,6%,6%,14%,-10%,6%,6%,14%,-29%,-13%,28%,9%,7%,17%,"20%"
농심,식음료,16,56,20%,농심,17%,22%,8%,4%,23%,11%,31%,19%,29%,28%,23%,6%,39%,30%,2%,10%,80%,27%,29%,10%,80%,27%,29%,88%,8%,38%,9%,-2%,6%,"-4%"
동아ST,제약-바이오,24,56,21%,"동아ST, 동아에스티",41%,39%,26%,32%,26%,24%,20%,56%,64%,50%,26%,78%,43%,15%,65%,-6%,9%,5%,-8%,-6%,9%,5%,-8%,2%,-22%,18%,10%,-16%,-16%,"-6%"
롯데GRS,외식-체인 ,12,56,19%,"롯데GRS, Lotte GRS, 롯데지알에스, Lotte지알에스, 롯데, Lotte",5%,3%,26%,38%,7%,2%,7%,6%,12%,30%,28%,15%,20%,3%,11%,31%,115%,67%,10%,31%,115%,67%,10%,134%,60%,66%,40%,44%,28%,"49%"
분당서울대학교병원,병원 ,14,56,20%,"분당 서울대학교 병원, 분당서울대병원, 분당 서울대 병원, 분당서울대학교병원, 분당 서울대병원",28%,19%,37%,23%,51%,55%,69%,63%,43%,72%,53%,56%,52%,52%,45%,-5%,1%,14%,-10%,-5%,1%,14%,-10%,42%,25%,5%,39%,61%,46%,"-21%"
삼성SDS,IT ,58,56,21%,"삼성SDS, SAMSUNG SDS, SDS, 에스디에스, 삼성에스디에스, 삼성 SDS",45%,58%,40%,23%,13%,67%,86%,52%,44%,44%,19%,33%,26%,61%,57%,-3%,9%,-10%,-12%,-3%,9%,-10%,-12%,7%,1%,-5%,2%,8%,5%,"2%"
삼양사,에너지-화학 ,17,56,20%,삼양사,10%,21%,15%,16%,32%,8%,4%,8%,17%,9%,18%,18%,37%,15%,14%,-15%,5%,-13%,-24%,-15%,5%,-13%,-24%,-21%,-12%,13%,18%,11%,-2%,"3%"
신영증권,증권 ,10,56,21%,"신영증권, 신영",11%,9%,26%,77%,10%,15%,31%,36%,27%,40%,41%,36%,17%,13%,11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
제일건설,건설-중공업 ,15,56,19%,제일건설,41%,22%,21%,17%,55%,31%,13%,63%,61%,28%,55%,53%,9%,12%,22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국국방연구원,방산 ,15,56,21%,"한국국방연구원, 국방연구원",18%,42%,56%,26%,62%,24%,65%,48%,45%,75%,22%,50%,57%,86%,49%,-7%,17%,-10%,-14%,-7%,17%,-10%,-14%,7%,-8%,8%,-17%,23%,-1%,"-22%"
한국농수산식품유통공사,공공기관 ,20,56,20%,"한국농수산식품유통공사, 농수산식품유통공사, 농수산유통공사, 농수산식품공사",22%,31%,23%,85%,69%,71%,69%,67%,82%,67%,68%,41%,47%,42%,23%,-4%,17%,-11%,27%,-4%,17%,-11%,27%,-17%,-4%,6%,-6%,-5%,-23%,"-9%"
두산모트롤,방산 ,10,56,20%,#N/A,11%,12%,4%,30%,33%,7%,19%,28%,47%,10%,45%,7%,26%,7%,36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성E&A,건설-중공업 ,44,56,20%,#N/A,21%,51%,30%,38%,43%,49%,69%,36%,37%,32%,57%,38%,23%,10%,17%,4%,5%,-2%,20%,4%,5%,-2%,20%,-11%,-22%,-3%,-18%,-7%,-25%,"-14%"
이지스자산운용,금융 ,10,56,20%,#N/A,25%,59%,71%,64%,7%,52%,19%,49%,34%,22%,53%,27%,52%,48%,88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
하이트진로,식음료 ,25,55,21%,"HITE JINRO, 하이트, 하이트진로, 하이트 진로, 진로",17%,18%,26%,18%,20%,25%,63%,13%,21%,34%,42%,50%,6%,22%,20%,-8%,26%,44%,4%,-8%,26%,44%,4%,13%,38%,17%,-24%,19%,21%,"21%"
KB캐피탈,금융 ,12,55,22%,"KB캐피탈, KB Capital, 케이비캐피탈, KB",9%,7%,16%,30%,41%,32%,25%,16%,47%,17%,22%,54%,8%,14%,36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국산업기술시험원,공공기관 ,10,55,22%,"KTL, 산업기술시험원, 한국산업기술시험원",31%,71%,48%,58%,73%,90%,95%,77%,86%,72%,38%,50%,41%,59%,45%,-15%,-5%,-34%,-30%,-15%,-5%,-34%,-30%,-20%,-23%,-42%,-23%,17%,-6%,"6%"
교보증권,금융 ,11,55,21%,"교보증권, 교보, Kyobo, Kyobo증권 ",14%,11%,4%,33%,12%,21%,8%,14%,52%,8%,15%,28%,13%,25%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
금융감독원,공공기관,19,55,22%,"금융감독원, 금감원",30%,18%,10%,13%,51%,15%,51%,42%,32%,20%,25%,22%,69%,12%,29%,3%,39%,17%,38%,3%,39%,17%,38%,202%,9%,33%,28%,-6%,-4%,"27%"
대상,식음료,44,55,21%,"대상, DAESANG",36%,25%,30%,33%,42%,38%,24%,42%,44%,51%,31%,17%,40%,67%,45%,-3%,28%,-1%,-8%,-3%,28%,-1%,-8%,33%,9%,6%,-3%,-11%,-1%,"-13%"
서울대학교병원,병원 ,28,55,21%,"서울대학교병원, 서울대병원",28%,31%,10%,21%,59%,60%,53%,49%,16%,11%,9%,62%,34%,30%,8%,1%,25%,28%,12%,1%,25%,28%,12%,-1%,-15%,-4%,21%,7%,27%,"6%"
신세계건설,건설-중공업 ,11,55,22%,신세계건설,45%,69%,9%,52%,8%,13%,35%,7%,47%,8%,6%,39%,52%,18%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국인터넷진흥원,공공기관 ,10,55,21%,#N/A,8%,39%,28%,77%,21%,1%,19%,23%,64%,50%,28%,21%,63%,22%,17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
11번가,커머스 ,14,54,23%,"11번가, 십일번가",41%,29%,89%,12%,4%,7%,11%,44%,35%,44%,14%,8%,46%,79%,70%,22%,92%,127%,41%,22%,92%,127%,41%,138%,44%,60%,39%,36%,14%,"22%"
코웨이,전자-기계 ,35,54,23%,"COWAY, 코웨이",35%,31%,37%,20%,40%,41%,21%,41%,27%,41%,15%,36%,31%,26%,54%,12%,25%,10%,32%,12%,25%,10%,32%,76%,23%,15%,11%,5%,14%,"12%"
HL디앤아이한라,건설-중공업,12,54,23%,"HL디앤아이한라, 디앤아이한라, D&I한라, HL, 에이치엘",6%,23%,75%,53%,12%,6%,35%,16%,8%,32%,26%,20%,21%,30%,22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
SK E&S,에너지-화학 ,16,54,22%,"SK E&S, SK이앤에스, 에스케이이앤에스, SK, 에스케이",64%,41%,23%,53%,85%,74%,84%,90%,74%,71%,80%,83%,16%,55%,79%,-14%,0%,-1%,4%,-14%,0%,-1%,4%,-40%,-35%,-26%,-11%,-43%,-26%,"-20%"
김앤장법률사무소,법률,11,54,23%,"김장법률사무소, 김앤장법률사무소",17%,27%,26%,77%,96%,90%,100%,63%,30%,82%,53%,99%,57%,85%,61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
머크,전자-기계 ,24,54,23%,머크,29%,22%,78%,61%,17%,27%,32%,16%,25%,15%,15%,20%,43%,15%,45%,7%,26%,42%,14%,7%,26%,42%,14%,6%,36%,23%,12%,47%,34%,"26%"
메드트로닉코리아,제약-바이오 ,10,54,23%,"메드트로닉코리아, Medtronic, Medtronic Korea, 메드트로닉, 메드트로닉 한국",20%,39%,8%,21%,39%,43%,84%,51%,74%,69%,24%,59%,43%,58%,14%,-10%,25%,0%,39%,-10%,25%,0%,39%,2%,-16%,-5%,-21%,-2%,-29%,"-22%"
에스티팜,제약-바이오 ,12,54,24%,"에스티팜, STpharm",18%,3%,48%,44%,15%,18%,35%,36%,8%,8%,67%,15%,35%,30%,11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
